#Delta_z[mm]	B[mT]
-29         	1
-24         	4
-22	            8
-20	            14
-18	            28
-16	            52
-14	            115
-12	            217
-10	            355
-8	            415
-6	            446
-4	            461
-2	            466
0	            467
2	            460
4	            444
6	            412
8	            345
10	            237
12	            123
14	            63
16	            33
18	            18
20	            9
22          	5
24	            3
26	            1
